lga,description,indicativetiming,dwellingyield,dwelling_yield_approx,timing_category
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,No Timeframe,1 to 5 dwellings,3.0,5
Brisbane (C),Urban Residential,0 - 2 Years,51 to 100 dwellings,75.0,1
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,No Timeframe,1 to 5 dwellings,3.0,5
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,0 - 2 Years,101 to 500 dwellings,300.0,1
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,5 - 10 Years,51 to 100 dwellings,75.0,3
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,51 to 100 dwellings,75.0,3
Brisbane (C),Urban Residential,10+ Years,101 to 500 dwellings,300.0,4
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,No Timeframe,51 to 100 dwellings,75.0,5
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,No Timeframe,101 to 500 dwellings,300.0,5
Brisbane (C),Urban Residential,No Timeframe,101 to 500 dwellings,300.0,5
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,No Timeframe,101 to 500 dwellings,300.0,5
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,101 to 500 dwellings,300.0,4
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,No Timeframe,101 to 500 dwellings,300.0,5
Brisbane (C),Urban Residential,No Timeframe,101 to 500 dwellings,300.0,5
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,10+ Years,101 to 500 dwellings,300.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,No Timeframe,21 to 50 dwellings,35.0,5
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,No Timeframe,1 to 5 dwellings,3.0,5
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,0 - 2 Years,21 to 50 dwellings,35.0,1
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,No Timeframe,21 to 50 dwellings,35.0,5
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,0 - 2 Years,101 to 500 dwellings,300.0,1
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,No Timeframe,21 to 50 dwellings,35.0,5
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,51 to 100 dwellings,75.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,0 - 2 Years,21 to 50 dwellings,35.0,1
Brisbane (C),Urban Residential,0 - 2 Years,21 to 50 dwellings,35.0,1
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,5 - 10 Years,51 to 100 dwellings,75.0,3
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,0 - 2 Years,101 to 500 dwellings,300.0,1
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,No Timeframe,21 to 50 dwellings,35.0,5
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,5 - 10 Years,51 to 100 dwellings,75.0,3
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,0 - 2 Years,51 to 100 dwellings,75.0,1
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,0 - 2 Years,51 to 100 dwellings,75.0,1
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,0 - 2 Years,21 to 50 dwellings,35.0,1
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,0 - 2 Years,101 to 500 dwellings,300.0,1
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,0 - 2 Years,51 to 100 dwellings,75.0,1
Brisbane (C),Urban Residential,0 - 2 Years,101 to 500 dwellings,300.0,1
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,No Timeframe,1 to 5 dwellings,3.0,5
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,0 - 2 Years,101 to 500 dwellings,300.0,1
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,2 - 5 Years,1 to 5 dwellings,3.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,2 - 5 Years,101 to 500 dwellings,300.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,1 to 5 dwellings,3.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,0 - 2 Years,21 to 50 dwellings,35.0,1
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,5 - 10 Years,101 to 500 dwellings,300.0,3
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,5 - 10 Years,51 to 100 dwellings,75.0,3
Brisbane (C),Urban Residential,5 - 10 Years,51 to 100 dwellings,75.0,3
Brisbane (C),Rural Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,0 - 2 Years,21 to 50 dwellings,35.0,1
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,0 - 2 Years,1 to 5 dwellings,3.0,1
Brisbane (C),Urban Residential,2 - 5 Years,51 to 100 dwellings,75.0,2
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,2 - 5 Years,21 to 50 dwellings,35.0,2
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,51 to 100 dwellings,75.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,10+ Years,1 to 5 dwellings,3.0,4
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,5 - 10 Years,21 to 50 dwellings,35.0,3
Brisbane (C),Urban Residential,10+ Years,21 to 50 dwellings,35.0,4
