SA2_CODE21,SA2_NAME21,Parcel_Count,Total_Dwelling_Yield,Avg_Dwelling_Yield,Avg_Timing_Category
301011002,Belmont - Gumdale,146,438.0,3.0,4.0
301031015,Manly - Lota,328,11676.0,35.59756097560975,3.7804878048780486
301031016,Manly West,253,4183.0,16.533596837944664,3.58102766798419
301031017,Murarrie,169,16535.0,97.84023668639053,2.0
301031018,Tingalpa,358,2802.0,7.826815642458101,4.033519553072626
301031019,Wakerley,108,3780.0,35.0,4.0
301031020,Wynnum,206,3138.0,15.233009708737864,3.70873786407767
301031021,Wynnum West - Hemmant,253,7207.0,28.486166007905137,3.090909090909091
302011022,Bald Hills,51,1785.0,35.0,3.235294117647059
302011023,Bridgeman Downs,737,25083.0,34.03392130257802,3.5318860244233377
302011024,Carseldine,559,26470.0,47.35241502683363,3.6135957066189626
302011025,Everton Park,1330,5430.0,4.082706766917293,3.794736842105263
302011026,McDowall,524,8604.0,16.419847328244273,3.0267175572519083
302021027,Aspley,59,2553.0,43.271186440677965,3.559322033898305
302021028,Chermside,53,1855.0,35.0,2.0
302021029,Chermside West,169,507.0,3.0,3.591715976331361
302021030,Geebung,146,438.0,3.0,4.0
302031035,Boondall,97,1731.0,17.84536082474227,3.0
302031036,Brisbane Airport,32,9600.0,300.0,1.0
302031037,Eagle Farm - Pinkenba,409,74775.0,182.82396088019559,3.5378973105134475
302031038,Northgate - Virginia,90,3150.0,35.0,3.0
302031039,Nudgee - Banyo,53,1855.0,35.0,2.0
302041041,Bracken Ridge,804,28852.0,35.885572139303484,2.91044776119403
302041042,Brighton (Qld),731,2193.0,3.0,3.9958960328317374
302041045,Taigum - Fitzgibbon,796,29796.0,37.4321608040201,2.807788944723618
303011048,Cannon Hill,36,10800.0,300.0,2.0
303011049,Carina,182,11238.0,61.747252747252745,3.6043956043956045
303011050,Carina Heights,72,21600.0,300.0,2.0
303011051,Carindale,146,438.0,3.0,4.0
303021053,Coorparoo,13,3900.0,300.0,4.0
303021056,Holland Park,23,69.0,3.0,1.0
303021057,Holland Park West,63,12825.0,203.57142857142858,2.0
303021058,Woolloongabba,274,54655.0,199.47080291970804,2.302919708029197
303021059,Yeronga,90,12690.0,141.0,3.2
303031060,Eight Mile Plains,1472,12272.0,8.33695652173913,3.6786684782608696
303031061,Macgregor (Qld),292,876.0,3.0,4.0
303031062,Mansfield (Qld),23,69.0,3.0,1.0
303031063,Mount Gravatt,107,3745.0,35.0,3.0093457943925235
303031064,Rochedale - Burbank,1887,76201.0,40.38208797032326,3.289348171701113
303031065,Upper Mount Gravatt,212,12813.0,60.43867924528302,3.693396226415094
303031066,Wishart,200,2328.0,11.64,4.0
303041067,Coopers Plains,53,1855.0,35.0,2.0
303041068,Moorooka,0,0.0,,
303041069,Robertson,0,0.0,,
303041070,Salisbury - Nathan,461,1383.0,3.0,3.8503253796095445
303041071,Tarragindi,0,0.0,,
303051072,Algester,611,3777.0,6.181669394435352,3.911620294599018
303051073,Calamvale - Stretton,1345,7363.0,5.474349442379182,3.6364312267657994
303051074,Pallara - Willawong,1755,28297.0,16.123646723646722,3.89002849002849
303051075,Parkinson - Drewvale,226,19010.0,84.11504424778761,2.146017699115044
303051076,Rocklea - Acacia Ridge,638,3642.0,5.70846394984326,4.0
303061077,Kuraby,45,1575.0,35.0,3.0
303061078,Runcorn,1204,22816.0,18.95016611295681,3.506644518272425
303061079,Sunnybank,809,4123.0,5.096415327564895,3.8368355995055623
303061080,Sunnybank Hills,1262,12546.0,9.941362916006339,3.705229793977813
304011084,Seventeen Mile Rocks - Sinnamon Park,54,1890.0,35.0,4.0
304021086,Bellbowrie - Moggill,138,2142.0,15.521739130434783,2.449275362318841
304021087,Brookfield - Kenmore Hills,0,0.0,,
304021088,Chapel Hill,627,1881.0,3.0,3.9776714513556617
304021089,Fig Tree Pocket,222,2362.0,10.63963963963964,3.2117117117117115
304021090,Kenmore,493,6567.0,13.320486815415821,3.1379310344827585
304031093,Corinda,211,3193.0,15.132701421800947,3.3270142180094786
304031094,Indooroopilly,6,210.0,35.0,5.0
304031095,Sherwood,169,507.0,3.0,3.591715976331361
304031097,Taringa,27,2025.0,75.0,2.0
304041100,Keperra,174,6138.0,35.275862068965516,3.5172413793103448
304041101,Mitchelton,76,15969.0,210.1184210526316,1.9210526315789473
304041103,The Gap,808,4152.0,5.138613861386139,4.02970297029703
304041104,Upper Kedron - Ferny Grove,365,14379.0,39.394520547945206,3.0794520547945203
305011105,Brisbane City,32,9600.0,300.0,1.0
305011106,Fortitude Valley,69,20700.0,300.0,2.0144927536231885
305011108,Kangaroo Point,36,10800.0,300.0,2.0
305011112,West End,220,43725.0,198.75,2.831818181818182
305021113,Balmoral,89,12655.0,142.19101123595505,2.0
305021114,Bulimba,53,1855.0,35.0,2.0
305021115,East Brisbane,54,1890.0,35.0,4.0
305021117,Morningside - Seven Hills,637,23295.0,36.569858712715856,3.502354788069074
305031119,Albion,207,17455.0,84.32367149758454,2.743961352657005
305031120,Alderley,25,5115.0,204.6,1.0
305031121,Ascot,57,14715.0,258.1578947368421,1.0
305031122,Clayfield,27,2025.0,75.0,2.0
305031124,Hamilton (Qld),72,21600.0,300.0,2.0
305031125,Hendra,15,1125.0,75.0,3.0
305031126,Kelvin Grove - Herston,53,1855.0,35.0,2.0
305031128,Newstead - Bowen Hills,250,68700.0,274.8,2.736
305031130,Windsor,15,1125.0,75.0,3.0
305031131,Wooloowin - Lutwyche,102,15750.0,154.41176470588235,1.8823529411764706
305041132,Ashgrove,146,438.0,3.0,4.0
305041133,Auchenflower,27,2025.0,75.0,2.0
305041134,Bardon,292,876.0,3.0,4.0
305041135,Paddington - Milton,36,10800.0,300.0,2.0
305041137,Toowong,64,16500.0,257.8125,1.5625
