SA2_code,SA2_name,2021,2026,2031,2036,2041,2046
301011001.0,Alexandra Hills,16878.0,16402.418719085523,16004.995865339824,15490.30206040625,15017.029788250638,14544.592031314824
301011002.0,Belmont - Gumdale,7645.0,7338.076987217439,7165.525278948325,7024.175951320776,6946.417474379197,6902.3679317689075
301011003.0,Birkdale,15457.0,16269.029706895817,16448.926106523715,16502.80578687127,16528.315138801976,16473.48384304952
301011004.0,Capalaba,18586.0,19212.883689177736,19658.90306813393,19931.68486585711,20080.690498512893,19912.317959317188
301011005.0,Thorneside,3928.0,3916.228713336585,3905.992516072843,3893.310388750808,3897.925110166773,3901.43280555139
301011006.0,Wellington Point,12047.0,12678.534165367275,12925.333387423583,13017.747873015636,13106.233899884806,13157.887833632743
301021007.0,Cleveland,16075.0,17881.819627923105,19456.473113946427,20826.44701385664,22061.734842172922,22285.729684836668
301021008.0,Ormiston,6446.0,6663.456381235948,6696.602175996156,6681.522544854994,6659.175055941222,6612.127530631158
301021009.0,Redland Bay,18099.0,20131.59725852248,22038.88168565967,23775.66115204608,25210.17477438021,26339.288232911433
301021011.0,Sheldon - Mount Cotton,8461.0,8346.967102656688,8348.514359373106,8334.911443199364,8343.50666144752,8346.498078984712
301021012.0,Thornlands,19658.0,20835.299010322877,21556.01556363487,21761.526230751493,21974.949719409808,22133.035187759306
301021013.0,Victoria Point,15330.0,15724.635791315444,15930.238809176368,15922.782993590403,15834.194287500972,15567.606668742272
301021550.0,North Stradbroke Island,2191.0,2226.9181421724566,2237.3001342793686,2240.4171684459207,2245.510730375214,2246.5361083087364
301021551.0,Southern Moreton Bay Islands,8574.0,9725.144610226453,10744.792857037299,11305.488035530832,11792.174596207258,12128.829139751972
301031014.0,Brisbane Port - Lytton,10.0,9.751183894863848,9.689356751702846,9.628336563298078,9.607644426445514,9.58624642896522
301031015.0,Manly - Lota,7993.0,8054.912922545609,8167.228434149993,8318.511560127701,8545.208605766455,8705.33601423929
301031016.0,Manly West,12026.0,12253.500672645769,12313.593162367568,12362.769183904562,12469.010267355137,12569.058528904707
301031017.0,Murarrie,4843.0,4750.123927751531,4812.06255057075,5049.047274081337,5335.95395726955,5689.9986526012635
301031018.0,Tingalpa,8992.0,9447.939650293103,10002.02673272444,10342.550335988137,10590.624702698735,10719.634096079772
301031019.0,Wakerley,9567.0,9689.401110332232,9754.786196470672,9799.408159765811,9883.650917245875,9955.624850000944
301031020.0,Wynnum,14738.0,15290.916233596943,15976.086293194176,16969.401528007384,18189.089963584876,19663.09031535073
301031021.0,Wynnum West - Hemmant,15943.0,16454.161314026274,16834.419256832476,17048.903322049387,17256.238791051634,17378.635429199396
302011022.0,Bald Hills,7930.0,8109.956876514788,8119.923711414893,8093.03012564117,8079.064883452372,8036.287908513177
302011023.0,Bridgeman Downs,10618.0,12269.599405701509,13371.514811026775,14068.543100962394,14757.431646588368,15340.310720218933
302011024.0,Carseldine,9954.0,10109.955450341837,10032.819700449378,10005.869386784707,10071.270446386836,10260.304199193088
302011025.0,Everton Park,10194.0,10824.983272196825,11472.070208555906,12228.708817250968,13049.400890672288,13850.778943875719
302011026.0,McDowall,8018.0,8160.072072634018,8240.794108958407,8340.365103121296,8371.81386241922,8355.485222142226
302021027.0,Aspley,13068.0,12969.839323519562,12782.420304559302,12625.38762949943,12539.512628134036,12475.946731833148
302021028.0,Chermside,11612.0,12728.759335029088,13963.463139781144,15607.244938057947,17470.07691785662,19974.55997611288
302021029.0,Chermside West,6701.0,6752.450905928304,6826.390948260832,6890.623440341633,6979.7045273637095,7064.067650540016
302021030.0,Geebung,4599.0,4645.403296580511,4652.25943324679,4663.250986311006,4689.0486376705285,4712.857834994086
302021031.0,Kedron - Gordon Park,14694.0,15329.47648941855,15715.830285390912,16061.97441488077,16629.16639739581,17334.498948197193
302021032.0,Stafford,7020.0,7311.279510647666,7550.372616429094,7824.538686110271,8058.841160926389,8212.231738162944
302021033.0,Stafford Heights,7233.0,6991.10341818714,6877.68357297917,6783.1461686843595,6733.405313473388,6703.15452010642
302021034.0,Wavell Heights,10474.0,10750.412192519843,11041.146496977783,11325.269167446704,11667.949567738637,12017.9280744984
302031035.0,Boondall,9739.0,10010.6682388042,10032.368403608907,9995.56209916915,10054.812044089147,10078.705689656297
302031036.0,Brisbane Airport,131.0,339.57378302544026,463.49543586418,503.0758055492259,507.40703667945684,506.5197106723106
302031037.0,Eagle Farm - Pinkenba,2104.0,5124.979890327555,7403.440524603633,9222.811980222263,10985.31764832777,12907.535439376747
302031038.0,Northgate - Virginia,7169.0,7368.876527418068,7460.257176718914,7586.900013392429,7741.357249986579,7906.138032395393
302031039.0,Nudgee - Banyo,10948.0,11609.719679462505,11863.956246727828,12354.371325858501,12829.015053582507,13147.746900680255
302031040.0,Nundah,13552.0,14665.867609298246,15540.914750876153,16570.438553657183,17729.590977257765,19148.27797808065
302041041.0,Bracken Ridge,17816.0,17998.984440657474,17976.516875324443,17880.68483995846,18020.403723484877,18321.76060527875
302041042.0,Brighton (Qld),9786.0,9931.003433665566,10149.319547983107,10336.817537573614,10554.196683934586,10758.579955159927
302041043.0,Deagon,3821.0,3949.801003816668,4017.3593276534193,4088.8701695332365,4181.955293052683,4268.413734624329
302041044.0,Sandgate - Shorncliffe,6908.0,6962.024397322235,7029.436761808076,7093.572385920862,7182.820569825768,7282.870474011695
302041045.0,Taigum - Fitzgibbon,14301.0,14700.73480671307,15185.566488624652,15505.994856781148,15807.829725489222,16119.115218368413
302041046.0,Zillmere,9473.0,9815.735347365217,9932.497608030126,10107.853914833986,10355.237557200568,10624.170156913575
303011047.0,Camp Hill,12327.0,12852.883551928793,13339.337819438115,13805.531150496516,14382.64549039558,15019.256741045672
303011048.0,Cannon Hill,7028.0,7540.298040612772,7760.132781280286,7977.184102194743,8156.461137350135,8340.698123458365
303011049.0,Carina,12003.0,12781.808603736274,13174.35764429466,13395.408346755212,13936.525825143983,14639.341042262282
303011050.0,Carina Heights,6980.0,7156.781029092284,7282.285351642228,7404.40716039862,7603.071602583675,7884.343357718737
303011051.0,Carindale,16782.0,16802.02775996223,16539.153937286283,16247.27267381531,16011.632863989038,15764.46419746444
303021052.0,Annerley,12161.0,13057.850944356054,13492.299319363508,13878.292688663181,14390.10365993628,14972.709723778105
303021053.0,Coorparoo,18165.0,19565.836726673475,20619.696957735607,22160.942442560554,23780.875289277355,25537.282088774664
303021054.0,Fairfield - Dutton Park,5099.0,5419.78216838701,5556.903281558933,5690.679824728204,5859.717489022754,6067.874154693054
303021055.0,Greenslopes,10723.0,12585.950440467226,14060.763639815548,15808.49454478081,17653.488108400896,19905.187406464524
303021056.0,Holland Park,9017.0,9329.263574374101,9489.103900073376,9624.016176900075,9804.810575598944,10026.95478892035
303021057.0,Holland Park West,6499.0,6959.217903858214,7163.483172231537,7341.875815183444,7514.678309379207,7734.333547931676
303021058.0,Woolloongabba,8787.0,10892.789533278694,13069.499300560596,16025.005080006731,18913.027633829086,21832.13186464543
303021059.0,Yeronga,10343.0,10992.617343317836,11247.385532081726,11737.738214567076,12355.834080774484,12944.820827650052
303031060.0,Eight Mile Plains,15479.0,15528.58132481022,15979.239392890831,16137.661654851974,16324.010921607121,16400.051617269568
303031061.0,Macgregor (Qld),6075.0,6689.392229036699,7050.65390196899,7601.380618914416,8202.987696912473,8771.412812937608
303031062.0,Mansfield (Qld),9008.0,9121.673712882795,9185.20530217589,9246.458866008437,9347.609389782161,9445.330599266304
303031063.0,Mount Gravatt,16166.0,17576.88020080988,18651.8980149509,19907.463226656255,21410.615040731376,23247.629059649327
303031064.0,Rochedale - Burbank,11201.0,14153.915469013395,15772.890061710685,16852.09700569668,18280.800741949482,19731.996235952185
303031065.0,Upper Mount Gravatt,11180.0,12639.917333575508,14256.08549871165,16803.864121432445,19202.099552293104,22213.819541463843
303031066.0,Wishart,11584.0,11664.957821652433,11720.03373160465,11736.434162677833,11800.740488240244,11867.983498813293
303041067.0,Coopers Plains,5802.0,6519.196475437737,6962.059720388576,7454.369085573962,7948.441031798151,8474.709383841453
303041068.0,Moorooka,10996.0,11764.633411300265,12067.197168045128,12383.673055160618,12791.589290988468,13300.033580300507
303041069.0,Robertson,4950.0,5626.026457575925,5656.727104374867,5668.2072811725775,5687.618501172566,5699.361107616236
303041070.0,Salisbury - Nathan,7679.0,7859.1659752901505,7982.147710404738,8079.6801656678535,8201.943004468605,8320.303438232317
303041071.0,Tarragindi,11085.0,11332.727755971635,11455.362531484516,11558.292474772274,11692.226168363946,11817.484990407385
303051072.0,Algester,9146.0,9179.115431572849,9299.40640591576,9408.326707971226,9515.948345604069,9592.537769985996
303051073.0,Calamvale - Stretton,23329.0,24993.17573189466,25567.080791331362,26123.03527645672,26694.568487433884,27141.565592150342
303051074.0,Pallara - Willawong,10393.0,13067.595902713643,14005.747793817667,14473.77262958176,15282.784198871894,16202.670121592091
303051075.0,Parkinson - Drewvale,16410.0,17245.012831494045,17608.224649757787,17893.22191843235,18112.7395384416,18253.24169741323
303051076.0,Rocklea - Acacia Ridge,9864.0,10525.010325558242,10614.459612142176,10766.439988110944,10999.187717349829,11343.556709733064
303061077.0,Kuraby,9151.0,9232.431578791386,9276.701603261952,9318.447827096039,9396.604998843726,9479.24070273888
303061078.0,Runcorn,14332.0,15504.05130495381,15638.468759536248,15724.626019191757,15878.063828542778,15978.742691630498
303061079.0,Sunnybank,9203.0,9798.08977893313,9916.287056795361,9999.248214470235,10096.188783153435,10179.40009581967
303061080.0,Sunnybank Hills,18459.0,18277.700349095005,18468.482492396826,18680.154496192823,18903.234197558573,19088.36187253984
304011081.0,Jindalee - Mount Ommaney,7733.0,7545.875637215648,7434.279795840996,7315.645968048522,7225.879280114817,7138.8867780856735
304011082.0,Middle Park - Jamboree Heights,7173.0,6910.177291500897,6775.878927796805,6644.159636209145,6541.778245468111,6440.187486962778
304011083.0,Riverhills,4179.0,4057.082200946089,4016.6957143445115,3974.9970703959984,3948.5002164209022,3920.792113294056
304011084.0,Seventeen Mile Rocks - Sinnamon Park,9836.0,9831.762794970628,9783.459683819468,9808.654590231492,9807.267772610901,9779.226602023315
304011085.0,Westlake,4492.0,4409.167875838522,4341.267219932691,4269.723647978382,4216.017336280724,4158.879823723566
304021086.0,Bellbowrie - Moggill,10660.0,10907.847350843344,10971.984224185646,11061.51248734487,11285.37480097044,11487.5376676347
304021087.0,Brookfield - Kenmore Hills,7103.0,6794.9689365796985,6676.665464338922,6561.654095429749,6493.689648783533,6420.58914316156
304021088.0,Chapel Hill,10877.0,10920.255678669406,10982.965619719034,11014.55450905623,11071.14032230847,11104.461102492292
304021089.0,Fig Tree Pocket,4410.0,4581.875426866477,4725.082946090362,4825.773466704675,4942.376224956619,5028.409579889475
304021090.0,Kenmore,9547.0,9680.228059415364,9933.83035617798,10104.291101971574,10272.496140897252,10396.416359401705
304021091.0,Pinjarra Hills - Pullenvale,5743.0,5582.394560513221,5463.38113029067,5359.712330219391,5292.3580728364395,5217.904366123418
304031092.0,Chelmer - Graceville,7951.0,8123.6361049679645,8256.91910562631,8380.44064770913,8516.67823865128,8638.392785673746
304031093.0,Corinda,5391.0,5571.558910243955,5734.909349598755,5917.239932355235,6128.15251640687,6391.368172456567
304031094.0,Indooroopilly,13717.0,14688.750637298304,15631.57385223532,16464.49143157205,17613.892634760465,19135.534136155624
304031095.0,Sherwood,6526.0,6839.051233195394,7066.825014102533,7369.863491967828,7692.912118994635,8056.87783968875
304031096.0,St Lucia,12578.0,13436.50862702015,13566.195166202619,13559.676208622283,13681.103624750716,13906.030254355088
304031097.0,Taringa,9188.0,9619.669598010876,10011.017411056428,10640.999047284145,11265.863335597667,11919.41594476194
304041098.0,Enoggera,9205.0,9146.935877314498,9400.240643177243,9786.573661364791,10332.210924934869,10817.717024367514
304041099.0,Enoggera Reservoir,33.0,32.1789068530507,31.974877280619392,31.77351065888365,31.7052266072702,31.634613215585226
304041100.0,Keperra,7498.0,7366.179897000274,7399.07501002644,7509.523949807604,7593.75472326862,7636.178007324178
304041101.0,Mitchelton,9034.0,9330.726869252287,9526.673876727671,9978.055153007514,10569.02811356291,11121.597889926226
304041102.0,Mount Coot-tha,0.0,0.0,0.0,0.0,0.0,0.0
304041103.0,The Gap,17414.0,17554.74893724995,17741.398548855832,17963.77716161662,18202.208741115694,18370.9554743635
304041104.0,Upper Kedron - Ferny Grove,11852.0,12833.436880580875,13302.748204835247,13242.86554501684,13235.514438367689,13220.775170320218
305011105.0,Brisbane City,13779.0,18288.47611670039,24856.22420578045,29536.93653023895,33121.74841283029,36319.30793509228
305011106.0,Fortitude Valley,9755.0,12646.867588427327,15252.061386238787,17706.195465507586,19702.379068214592,21791.201798678278
305011107.0,Highgate Hill,6478.0,6919.413641273197,7229.317357808044,7465.893988937847,7888.8023053491215,8418.592004579583
305011108.0,Kangaroo Point,9974.0,10597.990447960003,11439.294576924938,12254.849074303318,13104.353100213171,13977.519979422155
305011109.0,New Farm,12691.0,13693.404930692768,14180.799602051704,14551.390993352197,15093.822345229019,15753.420179940855
305011110.0,South Brisbane,14602.0,18926.58047008834,23035.351925655104,28230.30744484964,32472.510547349953,36470.24278103362
305011111.0,Spring Hill,7044.0,8966.568880779749,9944.71087909408,10751.490416637043,11683.802991304248,12744.184802094596
305011112.0,West End,15291.0,20523.62655072849,24922.625892286822,27875.147686675118,31519.04621771903,34566.9262709859
305021113.0,Balmoral,4621.0,4785.170863108391,4869.506126767168,4967.202865681604,5084.094196191969,5212.2178434037305
305021114.0,Bulimba,7507.0,8042.145285723756,8292.85259519598,8784.004761940356,9462.063956906646,10020.158025291516
305021115.0,East Brisbane,6230.0,6759.187222702167,7121.509140233915,7442.204328551881,7803.9848064525995,8207.043909200878
305021116.0,Hawthorne,5211.0,5603.3264366205585,5733.665905368623,5831.742617655444,6002.764227967447,6258.237357352443
305021117.0,Morningside - Seven Hills,14583.0,14641.916041511868,14779.96515044971,14902.757744535218,15146.395171660464,15553.908518557906
305021118.0,Norman Park,6957.0,7180.694338858995,7329.174582098913,7481.044923700038,7769.209582749223,7936.942756680302
305031119.0,Albion,4374.0,5527.373945294914,6259.532643480486,6858.710645693918,7507.97956220656,7903.5523190810645
305031120.0,Alderley,6691.0,7157.908763640096,7596.028890419802,8003.522457067158,8446.76847766428,8939.580804105937
305031121.0,Ascot,5850.0,6783.9422180185675,7486.43404596447,7937.587649993813,8196.420834840474,8348.995387542198
305031122.0,Clayfield,10924.0,11435.616866378203,11710.649912971601,11952.04161542131,12346.469369834998,12850.183415828904
305031123.0,Grange,4696.0,4783.13300679052,4891.354614765949,4977.653787117719,5070.8741212159175,5161.2236813105455
305031124.0,Hamilton (Qld),6874.0,7747.206383965592,8112.817946062758,8385.942375278644,8711.193054792704,9111.34460687126
305031125.0,Hendra,5023.0,5055.46459328806,5137.497897424044,5228.700924336387,5350.622225209127,5449.682497700532
305031126.0,Kelvin Grove - Herston,10445.0,12491.010142570127,13064.686886030973,13470.223158334096,13887.166600694796,14089.950433069585
305031127.0,Newmarket,5166.0,5664.215932516181,5853.27335761534,5992.896975437272,6184.53576457123,6408.009310839796
305031128.0,Newstead - Bowen Hills,18463.0,21480.566343785616,23143.55158635179,25261.611962823874,27577.166763847992,31039.444807778887
305031129.0,Wilston,4089.0,4236.449053794166,4394.93479487456,4503.311377439889,4609.385347110946,4676.300906209996
305031130.0,Windsor,8126.0,8707.717260668913,9081.123504173922,9485.703580094581,10233.352202964052,11194.887393578494
305031131.0,Wooloowin - Lutwyche,11234.0,11687.4557622034,12105.767769789058,12609.972515203917,13216.462461849236,14063.7673813693
305041132.0,Ashgrove,13941.0,14202.394808202856,14414.007373464578,14611.385469975457,14830.041312603487,15030.867354678747
305041133.0,Auchenflower,5774.0,6270.121858467451,6335.425758666212,6408.320312235581,6523.589019861627,6721.870443959848
305041134.0,Bardon,10482.0,10811.672862532121,11058.125596223419,11302.858033208831,11569.15692409821,11818.314147862777
305041135.0,Paddington - Milton,12444.0,13399.682027628649,14087.372079821975,14655.637964399342,15241.07045939495,15859.457132501473
305041136.0,Red Hill (Qld),6077.0,6400.759372101666,6700.54728665659,7154.7390807731135,7509.404453521134,7692.4493541337815
305041137.0,Toowong,12725.0,14814.12009223385,15790.131341480243,16792.155233752896,17767.93790522001,18917.753192362958
306011138.0,Brinsmead,5588.0,5686.477011930086,5815.63965553843,5933.045440613255,6048.501270957343,6155.150575711865
306011139.0,Clifton Beach - Kewarra Beach,11916.0,12839.85556003136,13799.12361453964,14511.87109089226,15032.671246839183,15325.796522284889
306011140.0,Freshwater - Stratford,3782.0,3891.2900306053666,3973.942876142543,4059.6468184090445,4159.211202743018,4249.862104642275
306011141.0,Redlynch,14015.0,14609.26744747244,14967.353436551013,15226.609223590849,15558.270832126209,15663.212189685537
306011142.0,Trinity Beach - Smithfield,17097.0,19241.235172128192,20978.76484383644,22351.336315470136,23829.199212213876,24599.783847874744
306011143.0,Yorkeys Knob - Machans Beach,6187.0,6306.854943243759,6521.2491116655165,6733.715521177028,6928.79609918983,7132.490659447677
306021144.0,Bentley Park,8498.0,8846.542280259378,9081.29933137899,9373.078480916312,9709.460290611132,9867.312471664689
306021145.0,Cairns City,12836.0,14373.475355600029,14994.376670354572,15680.598994107755,16421.206234741836,17200.942409291445
306021146.0,Earlville - Bayview Heights,8453.0,8497.365819461555,8606.419773113445,8728.299463608662,8867.305298546831,9007.48439680289
306021147.0,Edmonton,11614.0,12318.007938415922,13180.14700653832,14008.37915034322,14728.736758667932,15490.293149748562
306021148.0,Gordonvale - Trinity,9961.0,11684.3475121041,15284.539794681637,19587.44893479938,23763.890059027053,28733.210936279327
306021149.0,Kanimbla - Mooroobool,10085.0,10444.33626421282,10660.364200045118,10853.976284645008,11081.999638510397,11228.138997245554
306021150.0,Lamb Range,6.0,6.0,6.0,6.0,6.0,6.0
306021151.0,Manoora,6292.0,6865.286620684769,7660.5239738227665,8520.717747700526,9388.835427293749,10341.591438342777
306021152.0,Manunda,5254.0,5685.175376990208,6145.790338699515,6607.898112529774,7056.91843642309,7545.359789335895
306021153.0,Mount Sheridan,8782.0,9128.094981001877,9382.42010639283,9641.243987944608,9899.07342099549,10171.4823595228
306021154.0,Westcourt - Bungalow,6615.0,7135.942436884938,7538.703493785126,7947.612089299341,8354.886901914622,8789.363065886817
306021155.0,White Rock,4976.0,5310.4354794565415,5850.346681692829,6345.758244149669,6757.672136665124,7174.3459760031965
306021156.0,Whitfield - Edge Hill,8456.0,9066.510621093168,9640.113299790028,10226.872636150174,10825.743101476139,11443.404166512586
306021157.0,Woree,5192.0,5503.468131001409,5915.446823611015,6247.199561511652,6545.367666524504,6862.288047070685
306031158.0,Babinda,4607.0,4828.053386154407,4983.200181034286,5113.315397529264,5219.133353498301,5305.157060733994
306031159.0,Innisfail,9408.0,9504.44619284981,9498.598923554728,9478.448484532937,9440.337944906727,9386.605914746315
306031160.0,Johnstone,8083.000000000001,8320.579647731287,8485.948333771192,8623.830836398027,8733.25907323144,8819.076009933886
306031161.0,Tully,11131.000000000002,11482.254949420289,11738.581724760508,11953.14304924573,12125.303793621964,12262.598794865968
306031162.0,Wooroonooran,3.0,2.992152101518458,3.013938100916322,3.041809497171334,3.0856426069590563,3.1310822568863204
306031163.0,Yarrabah,2598.0,2720.554892853869,2864.916814563909,3019.9310799892287,3180.734823302633,3343.1716834683807
306041164.0,Daintree,6734.000000000001,6906.949190170629,7127.365731902961,7305.671421189456,7444.260653920479,7551.325615151984
306041165.0,Port Douglas,5626.0,5962.593045428347,6445.278284429571,6896.874595343082,7304.258124414953,7655.705596589999
306051166.0,Atherton,11748.000000000002,12421.520620815292,13091.477129102263,13705.496526838346,14261.949160517313,14768.561203096267
306051167.0,Herberton,5569.000000000001,5578.576697465593,5574.7665038329305,5563.639940733326,5542.637320091583,5512.739314596882
306051168.0,Kuranda,4868.0,5265.714780292978,5585.865581035634,5914.895135996358,6245.688786483075,6572.882086971501
306051169.0,Malanda - Yungaburra,9171.000000000002,9396.73926362541,9659.856081253585,9852.2772386063,9979.126221529257,10054.294888278462
306051170.0,Mareeba,11998.000000000002,12726.484587397093,13313.985395079206,14066.694596027806,14767.021797456244,15419.39522305566
307011171.0,Balonne,4378.999999999999,4170.120660422666,3961.1294743816884,3761.240982128595,3563.028252287858,3364.4655309637974
307011172.0,Chinchilla,8895.0,9261.613248491785,9697.238788553526,10055.079044938238,10301.002064922062,10419.328967697145
307011173.0,Goondiwindi,6285.999999999998,6093.493712443942,6033.353705698419,5963.0497884233355,5863.154446209988,5725.112314699745
307011174.0,Inglewood - Waggamba,4100.0,3983.4596509535045,3859.867300486054,3733.888537081673,3596.0441895483905,3443.65769057739
307011175.0,Miles - Wandoan,4218.0,4177.299216371637,4149.380449182865,4118.083537120752,4078.982279912835,4009.876549774492
307011176.0,Roma,6928.0,6840.734823661604,6683.971980525729,6522.210160690788,6352.289405937483,6163.146635079201
307011177.0,Roma Surrounds,6031.999999999999,5864.588492676483,5686.628130280851,5504.775832727634,5304.922484279664,5083.037116131127
307011178.0,Tara,3892.0,3741.0700685926154,3652.5207654673045,3562.9978193555858,3487.2801817028744,3446.7988483056392
307021179.0,Crows Nest - Rosalie,9264.999999999998,9526.25029005211,9682.527827046702,9751.671129985949,9800.86671836448,9853.066676444536
307021180.0,Jondaryan,7747.999999999999,7891.5947202924835,8049.313951993853,8181.108681837149,8273.529605958884,8341.767676149315
307021181.0,Millmerran,3252.9999999999995,3211.7800862068807,3223.53304428349,3226.125369864633,3208.1207362723726,3164.1384552644704
307021182.0,Pittsworth,5828.0,5892.590004588473,6032.597293987637,6150.80485948884,6221.508582981609,6230.395476373341
307021183.0,Wambo,17336.0,17619.557239751528,17910.661979038436,18145.525135324413,18333.6289183658,18494.897971817878
307031184.0,Clifton - Greenmount,5145.0,5255.399123281093,5404.583447638754,5552.385714023025,5671.788799952241,5822.984771078965
